[2026-06-05 08:01:49] [admin] LOGIN | Usuario: admin
[2026-06-05 08:08:55] [admin] LOGIN | Usuario: admin
[2026-06-05 08:09:33] [admin] ACTUALIZAR | ID: 4, SKU: 12776699, Nombre: shampoo
[2026-06-05 08:10:14] [admin] ACTUALIZAR | ID: 4, SKU: 12776699, Nombre: shampoo
[2026-06-05 08:11:47] [admin] CREAR | SKU: 12345676, Nombre: mango
[2026-06-05 08:23:15] [admin] LOGIN | Usuario: admin
[2026-06-05 08:23:52] [admin] ACTUALIZAR | ID: 1, SKU: 12345678, Nombre: Leche
[2026-06-06 05:50:12] [anonimo] LOGIN_FALLIDO | Intento fallido para usuario: admin
[2026-06-06 06:33:24] [admin] LOGIN | Usuario: admin
[2026-06-06 07:16:14] [admin] CREAR | SKU: 055, Nombre: Jaztea
[2026-06-06 07:17:35] [admin] CREAR | SKU: 024, Nombre: Arizona
[2026-06-06 07:18:37] [admin] CREAR | SKU: 010, Nombre: Leche
[2026-06-06 07:20:28] [admin] CREAR | SKU: 030, Nombre: Jabón
[2026-06-06 07:30:49] [admin] CREAR | SKU: 040, Nombre: Coca-Cola
[2026-06-06 07:32:00] [admin] CREAR | SKU: 015, Nombre: Sabritas
[2026-06-06 07:32:59] [admin] ACTUALIZAR | ID: 6, SKU: 015, Nombre: Sabritas
[2026-06-06 07:33:44] [admin] ACTUALIZAR | ID: 5, SKU: 040, Nombre: Coca-Cola
[2026-06-06 07:34:34] [admin] ACTUALIZAR | ID: 4, SKU: 030, Nombre: Jabón
[2026-06-06 07:36:27] [admin] ACTUALIZAR | ID: 3, SKU: 010, Nombre: Leche
[2026-06-06 07:37:46] [admin] ACTUALIZAR | ID: 2, SKU: 024, Nombre: Arizona
[2026-06-06 07:39:13] [admin] ACTUALIZAR | ID: 1, SKU: 055, Nombre: Jaztea
[2026-06-06 07:40:06] [admin] ACTUALIZAR | ID: 5, SKU: 040, Nombre: Coca-Cola
[2026-06-06 07:40:33] [admin] ACTUALIZAR | ID: 1, SKU: 055, Nombre: Jaztea
[2026-06-07 02:40:16] [admin] LOGIN | Usuario: admin
[2026-06-07 08:34:46] [admin] LOGIN | Usuario: admin
[2026-06-07 23:00:16] [admin] LOGIN | Usuario: admin
[2026-06-07 23:00:34] [admin] ACTUALIZAR | ID: 16, SKU: 011, Nombre: Jugo Manzana
[2026-06-07 23:00:44] [admin] ACTUALIZAR | ID: 15, SKU: 010, Nombre: Chips
[2026-06-07 23:00:54] [admin] ACTUALIZAR | ID: 14, SKU: 009, Nombre: Uva Verde
[2026-06-07 23:01:04] [admin] ACTUALIZAR | ID: 13, SKU: 008, Nombre: Chocoretas
[2026-06-07 23:01:28] [admin] ACTUALIZAR | ID: 12, SKU: 007, Nombre: Fresa
[2026-06-07 23:01:37] [admin] ACTUALIZAR | ID: 11, SKU: 006, Nombre: Kiwi
[2026-06-07 23:01:48] [admin] ACTUALIZAR | ID: 10, SKU: 005, Nombre: Arizona
[2026-06-07 23:01:59] [admin] ACTUALIZAR | ID: 9, SKU: 004, Nombre: Leche
[2026-06-07 23:02:22] [admin] ACTUALIZAR | ID: 8, SKU: 003, Nombre: Jabón
[2026-06-07 23:02:31] [admin] ACTUALIZAR | ID: 7, SKU: 002, Nombre: Coca-Cola
[2026-06-07 23:02:41] [admin] ACTUALIZAR | ID: 6, SKU: 001, Nombre: Sabritas
[2026-06-08 00:06:24] [admin] LOGIN | Usuario: admin
[2026-06-08 00:08:12] [admin] LOGIN_FALLIDO | Intento fallido para usuario: admin
[2026-06-08 00:08:19] [admin] LOGIN | Usuario: admin
[2026-06-08 00:10:47] [admin] LOGIN | Usuario: admin
[2026-06-08 00:11:15] [admin] LOGOUT | Usuario: admin
[2026-06-08 00:17:41] [admin] LOGIN | Usuario: admin
[2026-06-08 01:26:42] [admin] LOGIN | Usuario: admin
[2026-06-08 01:30:20] [admin] ACTUALIZAR | ID: 16, SKU: 011, Nombre: Jugo Manzana
[2026-06-08 01:30:37] [admin] ACTUALIZAR | ID: 15, SKU: 010, Nombre: Chips
[2026-06-08 01:30:54] [admin] ACTUALIZAR | ID: 14, SKU: 009, Nombre: Uva Verde
[2026-06-08 01:31:13] [admin] ACTUALIZAR | ID: 13, SKU: 008, Nombre: Chocoretas
[2026-06-08 01:31:26] [admin] ACTUALIZAR | ID: 12, SKU: 007, Nombre: Fresa
[2026-06-08 01:31:56] [admin] ACTUALIZAR | ID: 11, SKU: 006, Nombre: Kiwi
[2026-06-08 01:32:14] [admin] ACTUALIZAR | ID: 10, SKU: 005, Nombre: Arizona
[2026-06-08 01:33:08] [admin] ACTUALIZAR | ID: 9, SKU: 004, Nombre: Leche
[2026-06-08 01:33:30] [admin] ACTUALIZAR | ID: 8, SKU: 003, Nombre: Jabón
[2026-06-08 01:33:53] [admin] ACTUALIZAR | ID: 7, SKU: 002, Nombre: Coca-Cola
[2026-06-08 01:34:20] [admin] ACTUALIZAR | ID: 6, SKU: 001, Nombre: Sabritas
[2026-06-08 12:43:35] [admin] LOGIN | Usuario: admin
[2026-06-08 12:52:30] [admin] LOGIN | Usuario: admin
[2026-06-08 12:56:48] [admin] LOGIN | Usuario: admin
[2026-06-08 13:08:39] [admin] LOGIN | Usuario: admin
[2026-06-08 13:46:47] [admin] LOGIN | Usuario: admin
